run,algo,seed,n_links,p,tau,r_u,sigma_omega,gamma,mc_cost_mean,mc_cost_std,jstar_mean,jstar_std,eval_reward_mean,monitor_reward_smoothed
runs/SAC_n13_p0.8_tau0.05_ru10.0_sigw0.0001_seed202511_20250921-112443,SAC,202511,13,0.8,0.05,10.0,0.0001,0.99,1096.1444073627265,2878.69345638077,5.09921104181708,0.9344860208734209,-24706.929918596743,-5800.975057649999
runs/SAC_n13_p0.8_tau0.05_ru10.0_sigw0.0001_seed20257_20250921-095849,SAC,20257,13,0.8,0.05,10.0,0.0001,0.99,6999.841351891012,10341.004416144779,4.727883976120421,1.1005594309562032,-9797.02663403829,-16297.0083587
runs/SAC_n7_p0.5_tau0.05_ru10.0_sigw0.0001_seed202511_20250919-062055,SAC,202511,7,0.5,0.05,10.0,0.0001,0.99,60.164899261934494,9.659965913299127,2.807922646876432,0.941580273393496,-458.39995648341875,-1242.78154375
runs/SAC_n7_p0.5_tau0.05_ru10.0_sigw0.0001_seed20257_20250919-050406,SAC,20257,7,0.5,0.05,10.0,0.0001,0.99,21.28182496514629,2.889844777330923,2.377894472730307,0.820859388359591,-402.69134429998076,-1196.00989415
runs/SAC_n7_p0.6_tau0.05_ru10.0_sigw0.0001_seed202511_20250919-064647,SAC,202511,7,0.6,0.05,10.0,0.0001,0.99,50.89647429677905,5.990837428617941,2.807922646876432,0.941580273393496,-532.6102094481917,-1207.7038447
runs/SAC_n7_p0.6_tau0.05_ru10.0_sigw0.0001_seed20257_20250919-052936,SAC,20257,7,0.6,0.05,10.0,0.0001,0.99,42.81641413739482,3.45350378838789,2.377894472730307,0.820859388359591,-649.7460469152871,-1190.2519336
runs/SAC_n7_p0.8_tau0.05_ru10.0_sigw0.0001_seed202511_20250919-071222,SAC,202511,7,0.8,0.05,10.0,0.0001,0.99,299.74266697522563,90.69006117225699,2.807922646876432,0.941580273393496,-5473.096532874108,-2311.0458368999994
runs/SAC_n7_p0.8_tau0.05_ru10.0_sigw0.0001_seed20257_20250919-055525,SAC,20257,7,0.8,0.05,10.0,0.0001,0.99,344.0129869691451,104.1880026143033,2.377894472730307,0.820859388359591,-6116.021759185791,-5211.95446905
runs/SAC_n9_p0.5_tau0.05_ru10.0_sigw0.0001_seed202511_20250920-105927,SAC,202511,9,0.5,0.05,10.0,0.0001,0.99,70.80389263215096,7.863850812932916,3.5227728615454237,0.9341407003538587,-536.1689738722642,-1542.1874369
runs/SAC_n9_p0.5_tau0.05_ru10.0_sigw0.0001_seed20257_20250920-092905,SAC,20257,9,0.5,0.05,10.0,0.0001,0.99,79.15391521374191,18.550092053903143,3.235281360857152,0.9977523387428947,-1011.2430879156789,-1559.8090682999998
runs/SAC_n9_p0.6_tau0.05_ru10.0_sigw0.0001_seed202511_20250920-112933,SAC,202511,9,0.6,0.05,10.0,0.0001,0.99,121.2278914264322,11.587716109101741,3.5227728615454237,0.9341407003538587,-1356.6099823215852,-1603.67927225
runs/SAC_n9_p0.6_tau0.05_ru10.0_sigw0.0001_seed20257_20250920-095908,SAC,20257,9,0.6,0.05,10.0,0.0001,0.99,64.43394683970921,6.235931052020114,3.235281360857152,0.9977523387428947,-857.8107038703499,-1572.5656523
runs/SAC_n9_p0.8_tau0.05_ru10.0_sigw0.0001_seed202511_20250920-120000,SAC,202511,9,0.8,0.05,10.0,0.0001,0.99,220.69382939316148,137.66367238514854,3.5227728615454237,0.9341407003538587,-11202.6455406785,-3146.9463236500023
runs/SAC_n9_p0.8_tau0.05_ru10.0_sigw0.0001_seed20257_20250920-102909,SAC,20257,9,0.8,0.05,10.0,0.0001,0.99,1848.5963151236256,4567.763750910279,3.235281360857152,0.9977523387428947,-3750.5146602149803,-7255.3234588
runs/TD3_n13_p0.5_tau0.05_ru10.0_sigw0.0001_seed202511_20250921-125404,TD3,202511,13,0.5,0.05,10.0,0.0001,0.99,97.39948024850408,19.613764357068458,5.09921104181708,0.9344860208734209,-677.2376346252362,-11546.993898550001
runs/TD3_n13_p0.5_tau0.05_ru10.0_sigw0.0001_seed20257_20250921-115331,TD3,20257,13,0.5,0.05,10.0,0.0001,0.99,128.79628744171416,30.283373033311545,4.727883976120421,1.1005594309562032,-952.3150119705995,-11657.289912100001
